algorithm,scenario,num_updates,total_timesteps,n_runs,positive_final_runs,positive_best_runs,positive_mean_last3_runs,final_mean,best_mean,mean_last3_mean
ff_ippo,small-4ag,50,800,3,0,0,0,0.000000,0.000000,0.000000
ff_ippo,small-4ag,200,3200,3,0,0,0,0.000000,0.000000,0.000000
ff_ippo,small-4ag,800,12800,3,0,0,0,0.000000,0.000000,0.000000
ff_ippo,small-4ag,3200,51200,3,0,0,0,0.000000,0.000000,0.000000
ff_ippo,tiny-2ag,50,800,3,0,3,2,0.000000,0.250000,0.083333
ff_ippo,tiny-2ag,200,3200,3,0,1,0,0.000000,0.083333,0.000000
ff_ippo,tiny-2ag,800,12800,3,0,1,0,0.000000,0.083333,0.000000
ff_ippo,tiny-2ag,3200,51200,3,0,1,0,0.000000,0.083333,0.000000
ff_mappo,small-4ag,50,800,3,0,0,0,0.000000,0.000000,0.000000
ff_mappo,small-4ag,200,3200,3,0,0,0,0.000000,0.000000,0.000000
ff_mappo,small-4ag,800,12800,3,0,0,0,0.000000,0.000000,0.000000
ff_mappo,small-4ag,3200,51200,3,0,0,0,0.000000,0.000000,0.000000
ff_mappo,tiny-2ag,50,800,3,0,2,1,0.000000,0.166667,0.027778
ff_mappo,tiny-2ag,200,3200,3,0,1,0,0.000000,0.083333,0.000000
ff_mappo,tiny-2ag,800,12800,3,0,1,0,0.000000,0.083333,0.000000
ff_mappo,tiny-2ag,3200,51200,3,0,2,1,0.000000,0.166667,0.055556
